IBANEZ ARTCORE AF55-TF, https://www.muztorg.ru/files/5nz/xxb/nu8/p44/gcw/800/4sw/4o8/c/5nzxxbnu8p44gcw8004sw4o8c.jpg, 20, 6, H-h, вклеенный, красное дерево, клён,
AIERSI LP-24 Sweet Honey Burst, https://www.muztorg.ru/files/7mc/r5k/onz/hk4/og0/cs0/0kk/g4s/s/7mcr5konzhk4og0cs00kkg4ss.jpg, 22, 6, H-h, вклеенный, красное дерево, красное дерево,
FENDER SQUIER Affinity 2021 Stratocaster FMT HSS MN Black Burst, https://www.muztorg.ru/files/4bt/8ik/ee1/uck/4wo/sgk/4cc/kss/4/4bt8ikee1uck4wosgk4cckss4.jpeg, undefined, undefined, undefined, undefined, undefined, undefined,
Fernandes LE-1Z CAR/L, https://www.muztorg.ru/files/8gy/koj/axo/mck/044/kc0/0wo/44s/8/8gykojaxomck044kc00wo44s8.jpeg, 6, H-s-s, на болтах, клён, ольха, палисандр,
JET JS-400 OW, https://www.muztorg.ru/files/euz/cw7/1v5/xc0/o44/0sk/4wg/ksw/g/euzcw71v5xc0o440sk4wgkswg.jpg, 22, 6, H-s-s, на болтах, клён, липа,
SCHECTER SGR C-1 FR WSN, https://www.muztorg.ru/files/rsv/0zu/je7/b40/w8k/k0o/o4s/8ws/rsv0zuje7b40w8kk0oo4s8ws.jpg, 24, 6, H-h, на болтах, клён, липа,
IBANEZ QX527PB-ABS, https://www.muztorg.ru/files/an9/4r6/1ex/748/8kw/kk8/c40/wkk/8/an94r61ex7488kwkk8c40wkk8.jpg, 7, undefined, undefined, undefined, undefined, undefined,
EART EXPLORER-H6 Black, https://www.muztorg.ru/files/20q/7zx/nio/0as/c0g/wkw/s0s/co4/8/20q7zxnio0asc0gwkws0sco48.jpg, undefined, undefined, undefined, undefined, undefined, undefined,
TERRIS TSS-039 BK, https://www.muztorg.ru/files/8qa/gye/wdz/4g8/w0s/gs8/cwo/ws0/8/8qagyewdz4g8w0sgs8cwows08.jpg, 22, 6, H-s-s, на болтах, клён, липа,
ARIA 615-WJ BK, https://www.muztorg.ru/files/cge/1gb/3pb/bk8/sso/k8k/8gw/wwc/g/cge1gb3pbbk8ssok8k8gwwwcg.jpg, 22, 6, H-h, на болтах, клён, тополь,
EART EXPLORER-H6 Natural, https://www.muztorg.ru/files/5mr/z23/6l4/30o/kog/ggw/g80/gso/c/5mrz236l430okogggwg80gsoc.jpg, 24, 6, H-h, на болтах, орех, тополь,
FENDER SQUIER Affinity 2021 Stratocaster FMT HSS MN Sienna Sunburst, https://www.muztorg.ru/files/7wj/ihl/wgg/kw8/cck/sc4/wgg/44g/4/7wjihlwggkw8ccksc4wgg44g4.jpeg, 21, 6, H-s-s, на болтах, клён, тополь,
EART E-335 Brown Sunburst, https://www.muztorg.ru/files/cpr/8jc/a1o/5k4/okg/0wk/kks/k08/4/cpr8jca1o5k4okg0wkkksk084.jpg, 22, 6, H-h, вклеенный, красное дерево, красное дерево,
ROCKDALE Stars HT HSS Sunburst, https://www.muztorg.ru/files/8jr/pg7/ik4/v0g/4ks/ow8/w4c/40w/s/8jrpg7ik4v0g4ksow8w4c40ws.jpg, 22, 6, H-s-s, на болтах, клён, тополь,
[object Object]JACKSON JS22-7 Dinky DKA HT Satin Black, https://www.muztorg.ru/files/5p1/tkg/0p4/gco/ssw/44c/k8o/oc0/c/5p1tkg0p4gcossw44ck8ooc0c.jpg, 7, на болтах, клён, тополь, амарант, правосторонняя,
